these results are using lr = 0.001, scheduler milestone 5, 10, 30, 50 with gamma 0.5
Epoch,Train Loss,Val Loss
1,515.8094,301.5052
2,140.8062,87.3788
3,80.4395,88.1127
4,61.8182,50.9517
5,48.5371,40.2538
6,27.7137,24.9492
7,26.1853,37.6529
8,25.1044,25.5358
9,23.8803,23.1402
10,22.8536,21.3355
11,16.0008,16.1201
12,16.2743,15.7371
13,15.6734,23.4299
14,15.2399,14.6590
15,15.0040,12.9970
16,14.5119,25.6007
17,14.2037,14.2127
18,14.0266,16.1735
19,13.9258,12.4340
20,13.2586,12.7969
21,13.3921,13.6851
22,13.4189,12.4915
23,12.8573,17.6749
24,12.8193,11.2345
25,12.5502,12.9503
26,12.5558,12.2506
27,12.1990,16.2999
28,11.9577,11.0298
29,12.1145,16.1605
30,11.7908,13.9859
31,9.6859,9.4968
32,9.8858,9.6228
33,9.9521,10.2038
34,9.8702,11.7180
35,9.7491,9.3804
36,9.7114,9.1615
37,9.7051,11.1266
38,9.5894,10.1335
39,9.4396,9.2953
40,9.5516,9.8250
41,9.4212,11.1496
42,9.3986,9.5735
43,9.4338,8.8628
44,9.3389,9.7351
45,9.3488,9.1741
46,9.3986,9.0207
47,9.1612,11.9834
48,9.2921,11.8417
49,9.1469,9.4541
50,9.0797,9.5189
51,8.1896,8.3967
52,8.3666,8.7653
53,8.3034,9.6596
54,8.2933,8.3036
55,8.3008,9.0995
56,8.3280,7.8991
57,8.2802,8.3353
58,8.2604,8.9683
59,8.2450,8.5077
60,8.2579,8.3132
61,8.3046,7.9214
62,8.2154,8.1305
63,8.1369,8.6926
64,8.1756,8.3679
65,8.1702,8.6387
66,8.2029,8.1623
67,8.0957,8.3374
68,8.2159,8.0377
69,8.1300,8.6898
70,8.0999,8.1804
71,8.1387,8.5325
72,8.0459,8.5109
73,8.0997,8.0445
74,8.0941,7.9135
75,8.0517,8.6506
76,8.0047,8.3436
77,8.0429,8.0779
78,8.0465,8.1803
79,8.0328,8.0641
80,7.9797,7.8575
81,7.9894,8.4369
82,8.0397,8.3520
83,7.9861,8.3509
84,7.9824,7.7850
85,7.9645,7.9995
86,7.9796,7.7478
87,7.9095,8.4398
88,7.9252,7.8529
89,7.9468,8.1908
90,7.9125,8.4597
91,7.9438,8.2672
92,7.9383,7.9794
93,7.8748,8.3324
94,7.8714,7.9584
95,7.9380,8.4245
96,7.8142,7.7372
97,7.8342,7.6928
98,7.7950,7.9988
99,7.8758,8.0294
100,7.8780,7.7015
101,7.8226,9.1051
102,7.8723,7.6040
103,7.8175,7.9706
104,7.8363,7.9272
105,7.8367,7.9512
106,7.7824,7.8317
107,7.7991,7.8839
108,7.8367,7.6543
109,7.7609,7.6569
110,7.7519,8.5027
111,7.8270,7.8738
112,7.7678,7.4652
113,7.7599,7.9308
114,7.7426,7.6876
115,7.7638,8.4460
116,7.7531,7.9190
117,7.7553,7.8972
118,7.7930,7.4850
119,7.7174,8.0803
120,7.7009,7.8993
121,7.7088,8.3075
122,7.7306,8.0627
123,7.7447,7.5156
124,7.6965,7.8943
125,7.6931,7.6779
126,7.7280,7.6347
127,7.6903,7.8204
128,7.7496,7.9581
129,7.6861,8.0712
130,7.7173,7.5825
131,7.6467,8.8133
132,7.7284,7.4383
133,7.6352,7.4125
134,7.6805,8.3941
135,7.6483,9.2792
136,7.6837,8.6068
137,7.6210,7.5627
138,7.6733,7.5471
139,7.6537,7.9916
140,7.6144,7.4325
141,7.6396,8.8380
142,7.6125,8.1626
143,7.6341,7.5376
144,7.6273,7.9376
145,7.6310,7.9533
146,7.6241,7.6518
147,7.5652,8.0117
148,7.5916,8.7402
149,7.6137,8.6933
150,7.5583,8.4203
151,7.5787,7.9301
152,7.5983,7.8356
153,7.6344,8.4357
154,7.6403,7.9521
155,7.5353,7.6821
156,7.6437,7.4435
157,7.5601,8.5321
158,7.5591,7.4551
159,7.5532,7.5943
160,7.5306,8.3561
161,7.5260,7.8508
162,7.5585,8.0695
163,7.5964,7.1677
164,7.5669,8.7403
165,7.5372,8.3223
166,7.5307,7.3515
167,7.5532,8.8774
168,7.5265,7.5301
169,7.5109,7.2928
170,7.5064,7.3896
171,7.5505,7.3078
172,7.5220,7.5644
173,7.5285,7.3735
174,7.5034,10.2143
175,7.5567,7.5332
176,7.0760,7.0387
177,7.1247,7.2912
178,7.1408,7.0822
179,7.1748,6.9891
180,7.1400,7.2689
181,6.9685,7.0519
182,6.9857,7.2279
183,6.9851,7.0777
184,6.9851,6.9709
185,6.9771,7.0741
186,6.9736,6.9677
187,6.9735,6.9818
188,6.9863,7.0349
189,6.9816,6.9365
190,6.9731,6.9026
191,6.9762,6.9331
192,6.9591,7.0937
193,6.9652,6.9801
194,6.9546,7.1497
195,6.9781,7.0454
196,6.9724,7.0116
197,6.9664,6.9471
198,6.9575,6.9216
199,6.9458,6.9194
200,6.9706,7.0062
