Epoch,Train Total,Val Total,Train Recon,Val Recon
Epoch,Train Total,Val Total,Train Recon,Val Recon
1,0.1317882,0.0225895,0.1315875,0.0222641
2,0.0284113,0.0106517,0.0281095,0.0103411
3,0.0162770,0.0213152,0.0159070,0.0209377
4,0.0134132,0.0079104,0.0130057,0.0074656
5,0.0166465,0.0096407,0.0161996,0.0091613
6,0.0223653,0.0185010,0.0218356,0.0178897
7,0.0209850,0.0106829,0.0204936,0.0102298
8,0.0159738,0.0062380,0.0154921,0.0057583
9,0.0184750,0.0131309,0.0179837,0.0125925
10,0.0246197,0.0172695,0.0240382,0.0166097
11,0.0241331,0.0088251,0.0235401,0.0082559
12,0.0487595,0.2499954,0.0480190,0.2491275
13,0.0402267,0.0349975,0.0394893,0.0343125
14,0.0284081,0.0410366,0.0277681,0.0404182
15,0.0286212,0.0239238,0.0280518,0.0233774
16,0.0284182,0.0124713,0.0278817,0.0119361
17,0.0258178,0.0142599,0.0252856,0.0137460
18,0.0269995,0.0158408,0.0265292,0.0153706
19,0.0254401,0.0427533,0.0249767,0.0422769
20,0.0273247,0.0385095,0.0268020,0.0378564
21,0.0247908,0.0244904,0.0241603,0.0238623
22,0.0262611,0.0278422,0.0256543,0.0271965
23,0.0241377,0.0624601,0.0235368,0.0618434
24,0.0242444,0.0531748,0.0236375,0.0526012
25,0.0232633,0.0480166,0.0226822,0.0474457
26,0.0188764,0.0194024,0.0182940,0.0188239
27,0.0217219,0.0098242,0.0211290,0.0092454
28,0.0223563,0.0092881,0.0218210,0.0088534
29,0.0219685,0.0186265,0.0215240,0.0181438
30,0.0182196,0.0292110,0.0177038,0.0286706
31,0.0162277,0.0130871,0.0156841,0.0125398
32,0.0134626,0.0188404,0.0129044,0.0183020
33,0.0151499,0.0127592,0.0145951,0.0121899
34,0.0148812,0.0068973,0.0143102,0.0063461
35,0.0195543,0.0080822,0.0189836,0.0074797
36,0.0141818,0.0061278,0.0136303,0.0055806
37,0.0146224,0.0190159,0.0140354,0.0184061
38,0.0152102,0.0063119,0.0146158,0.0057158
39,0.0140301,0.0084276,0.0134461,0.0078389
40,0.0136555,0.0158149,0.0130505,0.0152333
41,0.0129190,0.0305874,0.0123470,0.0300377
42,0.0144748,0.0106137,0.0138719,0.0099865
43,0.0154907,0.0108568,0.0148654,0.0102127
44,0.0135036,0.0065451,0.0128495,0.0059268
45,0.0119975,0.0251023,0.0113830,0.0244780
46,0.0140784,0.0335644,0.0134601,0.0329294
47,0.0155208,0.0188732,0.0149240,0.0182665
48,0.0161472,0.0123531,0.0155394,0.0117014
49,0.0155842,0.0115635,0.0148914,0.0109034
50,0.0156701,0.0276424,0.0150305,0.0270293
51,0.0150555,0.0198673,0.0144196,0.0192116
52,0.0207435,0.0222064,0.0200106,0.0212934
53,0.0243489,0.0158107,0.0235933,0.0151416
54,0.0159299,0.0081579,0.0152543,0.0074994
55,0.0148427,0.0071102,0.0141871,0.0064643
56,0.0146595,0.0096449,0.0140217,0.0090048
57,0.0135470,0.0186303,0.0129188,0.0180166
58,0.0190733,0.0116345,0.0184311,0.0110310
59,0.0142430,0.0089203,0.0136174,0.0083178
60,0.0129362,0.0072088,0.0122696,0.0065354
61,0.0115613,0.0101285,0.0109493,0.0095947
62,0.0120884,0.0453540,0.0115283,0.0446879
63,0.0112379,0.0089338,0.0106761,0.0083595
64,0.0113303,0.0069193,0.0107489,0.0063248
65,0.0122501,0.0105294,0.0116569,0.0099348
66,0.0107772,0.0117626,0.0101808,0.0111533
67,0.0125476,0.0150561,0.0119328,0.0144518
68,0.0124893,0.0057737,0.0118818,0.0051596
69,0.0137874,0.0106933,0.0131539,0.0100334
70,0.0136563,0.0092511,0.0130219,0.0085930
71,0.0137530,0.0184565,0.0131000,0.0177970
72,0.0152476,0.0135987,0.0145372,0.0128315
73,0.0149423,0.0153803,0.0141633,0.0146444
74,0.0168852,0.0070607,0.0161549,0.0063436
75,0.0139306,0.0142452,0.0132296,0.0135732
76,0.0140056,0.0062082,0.0133174,0.0055282
77,0.0167954,0.0279431,0.0161390,0.0272985
78,0.0141097,0.0184409,0.0134648,0.0177378
79,0.0165839,0.0174461,0.0159278,0.0168181
80,0.0154116,0.0084384,0.0147815,0.0077811
81,0.0142605,0.0186133,0.0135954,0.0179573
82,0.0126264,0.0069004,0.0119899,0.0062720
83,0.0118913,0.0123281,0.0112715,0.0117186
84,0.0129226,0.0101126,0.0123030,0.0094798
85,0.0139265,0.0165873,0.0132817,0.0159611
86,0.0117848,0.0141736,0.0111720,0.0135895
87,0.0121541,0.0089678,0.0115566,0.0083831
88,0.0100000,0.0066958,0.0093873,0.0060803
89,0.0109796,0.0072082,0.0103637,0.0065897
90,0.0097943,0.0083343,0.0091809,0.0077047
91,0.0118698,0.0121194,0.0112374,0.0114899
92,0.0152055,0.0133683,0.0145647,0.0127059
93,0.0153019,0.0156911,0.0146174,0.0150299
94,0.0121382,0.0089089,0.0115057,0.0082766
95,0.0133091,0.0110937,0.0126695,0.0104597
96,0.0142766,0.0369651,0.0136362,0.0363163
97,0.0144345,0.0233586,0.0137884,0.0227013
98,0.0140026,0.0122159,0.0133430,0.0115500
99,0.0142266,0.0062964,0.0135645,0.0056511
100,0.0118577,0.0212478,0.0112030,0.0205826
using encoder from epoch 90
